- ქუჩუჩის ... ასე ვარე ქუჩუჩიშ სეზონი.	There is a tradition of Kuchuchi [=Chichilaki, a Christmas tree made of hazelnut branches]. Now, it is not a Kuchuchi season.
მინ ტრადიციათჷ ჭუნა ვარდა ობინეხეეს, ვარდა ორტვინს ეშმადვანა, მარა მა ბჩუანქ, მუშენდა მოკო თენა ბრელქ ქოძირასი.	Sometimes, following the tradition, it is either burnt in a vineyard or placed in a vegetable garden but I keep them because I want many people to see it.
ქუჩუჩ რე უმოსო სამარგალოშ დო გურიაშჷ ტრადიცია.	Chcichilaki is more traditional in Samegrelo and Guria.
კალანდობას კულტურა ხოლო უმოსო ჩქინ რე, ქოიჩქუნა.	You know tradition of "Kalanda" is predominantly ours.
დო მარგალ კოჩი, სამარგალოს ახალწანა დო კუჩხა კალანდა ვარდუ ქუჩუჩიშ უმშო.	A Megrelian man in Samegrelo, can hardly be imagined without a chichilaki on the New Year's Day, on First Footing, nad on Kalanda (Christmas).
ანა თხირშე რე კეთებულჷ, მარა შურამიაშე ხოლო ორთუდეს.	This one has been made of a hazelnut but it is also made of a tree of heaven.
ასე ჩქი ქიგუაჸუნით გიშაძიებას, სოურე მორთ თენა, მუს ნიშნენც.	Now, we have to explore where chichilaki has come from, what it means.
რე ჟირ ვერსია.	There are two versions.
ართ ვერსიათ ბასილი, წმინდა ბასილიშ ბჟაკე რენია იჩიებუნა დო თინა მოხვარნანია ახალწანაშ სერს თუ ქირსეშ სერს დო თიშენ რენია.	According to one version, it is said to be St Basil's hear and that it will bless us on the New Year's Day on Christmas, and, hence it is.
მაჟია ვერსია ხოლო არსებენს, ათაქ ხო უშკურეფს გიამარგენა, დუც ხოლო თეს, ანა ნიშნენსია პლანეტებიშჷ, დედამიწაშ გილულასჷ ბჟაშჷ გარშემო.	There is another version: the fact that apples are fixed on top of it implies the movement of planets, of the earth around the sun.
მუკი მუკი არის გარშემო.	Muki-muki means around.
ათაქ უღუ უშკურეფი, ვარდა მუდგაინ ხილი, დუც ხოლო უღუ დო ათენა ნიშნენსია, პლანეტებიშ ბჟაშ გარშემო გილულას დო ათნა ხოლო ჩხორია რე.	Here on its sides, there are apples or some other fruit, there are also some on top of it; they say that this symbolizes the movement of planets around the sun, and, besides, "Chkhoria" [=sun ray].
თქვა ქოიჩქჷნანო ჩხორია მურე?	Do you know what "chkhoria" means?
მურე ჩხორია.	What is "chkhoria"?
- ქიფჩიათ თიშე ხოლო.	Let's talk about it as well.
-ჩხორია ქართულად არი მზის სხივი, ათენეფ რე ჩხორიეფი.	Chkhoria denotes a sun ray. These are chkhoria [=shaved parts of a chichilaki].
-აი მუ დროს დუთმოდგუნდჷ თე ქუჩუჩის მარგაჲ კოჩი?	When did a Megrelian individual installed a chichilaki?
- ასე მუჭო რდუ, მექუჩუჩე სოფელსჷ ჸუნდუ, ოფუთეს ჸუნდუ.	Well, it happened that a village had a master of chichilaki.
არგუსოშ ბოლოშახ შაყარანდუ ათე ნოჸელეფსი, კეტეფსჷ დო იჭყანდ უკული, მუშ პერიოდის უჩქუდ მუჟამ დიჭყუკო თეშ თოლუა.	He collected branches, stickes, till the end of August, and, then he began; he knew when to begin shaving a chichilaki.
მუშენდა გვიან გაკეთი და ვეგჷშგალე.	Because, if you begin latee, you will fail.
დო ახალწანაშ პერიოდის იჭყანდეს მონწყუალას.	People begin decorating it in the period prior to the New Year's Day.
მა ბაღანობას ხოლო ბშუ თხირიშ ნოჸელეფ უღუდუ დო ხილეფი დო კამფეტეფი დჷ თეშ გონწყუალა.	What I also remember from my childhood is that it had hazelnut branches and that itwas decorated with candies.
დო დიაჩქიმ ხოლო იჩიებუდუ, თენერი რდჷ თიშ ბაღანობას ხოლო.	My mother said that a chichilaki was the same in her childhood.
დიდო თე ტრადიცია თირელ ვარე.	This tradition has not changed considerably.
