თექ [ბერთემს] რე ხოლო დედამოკა.	Here, in Betlemi, there is also a location called "Dedamoka".
ხო და დედამოკააში ისტორია თენერიე ნამდა თი შკა ოშკაბანე საუკუნეემსია, კოჩ თქუანსჷნ, მახუთაა საუკუნეშეე მავითოხუთაშახ შუა საუკუნეეფი დჷ დო თიშ უკულ ხოლო თე ჩქინ სამარგალოს და საერთოდ საქორთუოს ირო გითმიანთხუუდუ თურქეფი.	The history of Dedamoka is the following: in the middle ages, as people say, from the 5th century till the 15th, and after that, Samegrelo and, Georgia, at large, were invaded by Turks.
მა თაშ გამიგებუ თენა.	I have heard it.
ბაღანობაში ის გირაგადჷქ, მუჭო მიხსნენდეს თეს.	I am telling you how I was told about it in my childhood.
მა საერთოდ ირო მაინტერესენდ ისტორია.	Generally, I have always been interested in history.
დო თე მუჟანს ვარდუო კოჩიი ჩქინ ოჯახშა სტუმარი ქიმიშუ, ვარდა მუთუნინი, თინეფ მუთუნ ჯვეშ ამბეებს მოყვენდეს და, მა თექ გევოხედ დო ირიათო გაფაციცეფით უჯინეედი თინემს.	Whenever a guest visited our family, or something happened, people told old stories, and I used to sit there listening very attentively.
დო თენეფიშ ნარაგადშე... .	I am telling you what I have heard from them.
ასე ვერსია ნამუთ ინტერნეტის გეძჷნ, ჭიჭე შხვანერიე დო მა ათაშ მაფ გჷნაგეფ თენა, ნამდა, ათე დედამოკაშ ტერიტორიასჷ მოკათ ოსურს გამათხოზუა დამპყრ... თურქიქ.	Presently, the version, which is published in the Internet, is slightly different, and I have heard that it was the territory of Dedamoka where a pregnant woman was chased by a Turk.
ქოძირუა თემომენტის თეენა, ნამუც წყარს ეშმა..	He saw the pregnant woman who was taking water from the spring.
წყარ, წყურგიჲშე წყარ მოუღუდუა, ხოდა გამათხოზუა თექ ოჭოფალო.	She was taking water from the spring, and the Turk chased her in order to catch her.
ონიი, ირტუა თე მოკათ ოსურქ.	The pregnant woman ran away.
ირტუანჷ, ტეხირ პიჯშე ირტუა, დიდყობკონი თიგურშენი.	She ran away; she ran away towards the bank of the Tekhuri river in order to hide herself.
ონი გამათხოზუ ე კოჩიქ ხოლო.	And, the man chased her.
გამაათხოზჷნი, ტახირს ხო ქაადირთჷ ასე, ქაადირთ, მუ ქიმნას ასე ტეხირსჷნი, გაჩერდუა თე ოსურქ, გაჩერდუა დო თე თურქიშ ხეს ეშალკონ თიშა ისხუნუუა ტეხირშა ქასხაპუკოვანი.	When she was chased, she reached the Tekhuri; she came there and she didn't know what to do. The woman stopped, and, in order not to get caught by the Turk, she jumped into the Tekhuri.
თი მომენტისია, ლეგენდა რე - ტეხირქ დეჭიჭარუა.	In that moment, as the legend goes, the Tekhuri decreased.
თი ადგილს მართაჲო ჭიჭე რე, ძაამ ვიწრო ხეობა რე თი ადგირს, თი დედამოკა რე თექ.	The river is actually small in that location. The gorge is very narrow where there is Dedamoka.
დო ათე ოსურქ ქაასხაპუა დო გეგნოსხაპუა მაჟია ნაპირიშა.	The woman jumped onto the opposite bank of the river.
მა ათაშ მაფუდ გინაგებ, ინტერნეტის თაშ ვეგეძ.	This is what I have heard. This version isn't available in the Internet/
ქუას გიგიოსხაპუა დო გექვაუა, ათაშ გეძ	That version says that she jumped onto a rock and turned to stone.
-აჰა	Aha.
- ხო დო მა ვარ, ბაღანობას თაშ ჯვეშეფ ჩქი ათაშ მიწიინდეს, ნამდა გესქიდუა თექ, ოდოო ირტუა თეთ.	And, I have not heard the Internet version. In my childhood, aged people told that the woman survived and escaped.
ათე თურქიქ ხოლო ქასხაპუაა, მარა ექ წყარ ქენაანთხუა იშო, ვეგნასხაპუა.	The Turk too jumped into the river but he didn't reach the opposite bank.
იშო დიიშკვიდუა თე თურქიქ.	The Turk drowned.
ოდო თიშ უკული თი არდგილს, რახანთ ასე მოკათ ოსურიში გიგნასხაპინა ადგილი რე თინანი, თი ადგილს დედამოკა ქიგიადუა დო ასე ხოლო დედამოკა ჯოხო თი ადგილს.	And, since then, the place where the pregnant woman jumped was named Dedamoka, and it is called Dedamoka.
დო ქუა ხოლო ნამუთ თექ რენი, ეთი ქუა ნამუც გიოსხაპუა თი ოსურქჷნი, თი ქუაქ უკული მიიღუა იშ ფორმა მოკათ... მოკათ ოსურიშ.	And, the rock, which is there on which the woman is said to have jumped on, the rock took a shape of a pregnant woman.
ხო, ოსურიშ, ქალის ფორმა, ანუ ოსურიშ ფორმა მიიღუა.	And, the rock took the shape of a woman.
ოდო ექ ნუ შხვა ვერსია რე ნამდაა გექვაუა დო ნუ მაინც ესე იგი, თი, ისა თურქის ხეს, ხექ ვეშიეხ.	And, there, in the Internet, there is a different version that she turned to stone, that is to say that Turk failed to reach her.
