-ათე პატჷნეფიში გურშენი მუ შილებე, მუ გჷგაშინენა, ჯვეშო უჩქუდეს ხო, ხვამა, წირუა?	What can you recollect about "batonebi" [=rashes]? Did people practice praying in the past?
- პატჷნეფშე ხვამათ უჩქუდეს.	They prayed when a child had batonebi.
უკული წითელე პატჷნეფი მიდგას ოსურუდუნ, ქიგეგონენდეს შხვადო სოდგა რდჷნჷ, თექ ოკო მიდეუნესკო თე მუნეფიში ბაღანა, თიშ ოძირაფშა მუდგარენი ტკბილეულით, ხილეულით დო იშო აშო გილმეშეს.	Then, when someone had measles, they learnt where someone else was also infected, and they had to take their child to visit another one bringing sweets, fruit, and went to and fro.
დო პლიუს ათეს ხოლო რდჷ ჯა ნეძი.	And, moreover, there was a ritual of a walnut tree.
ნეძი რდჷ ჯა, ნამუში ფესვის შილებედჷ თი ბაღანა გაგთატარკონჷ ფესვი დო დიხაშ შკას.	A walnut was a tree under roots of which you could let your child pass, between a ground and a root.
თიჯგუა თხრილი რდჷ, ბაღანაში გჷთოჸუნაფა დო გატარება შეილებუდ.	There was a ditch under which a child could pass.
დო მუდა ბაღანა გეტარებუდუნჷ, თიშ მიხედვით ჭითა ლენტეფი მიკიბუნუაფუდჷ თექი.	And, as many children were let to pass it, as many red ribbons were hung up there.
თი ლენტეფი ირიათო თექ რდჷ.	Ribbons were always there.
მეუძინანდ კოჩჷნ, მეუძინანდჷ, მეუძინანდჷ დო დღას, მუშით დელპებუდჷდა ვარა, კოჩი ვანკონწყჷნდჷ, ჭუალა ვეშილებედჷ.	People added and added ribbons, and, if only it got rotten by itself, otherwise nobody removed them.
-მუ ვაშინერდ თე დროს მაგალთო, პატჷნეფი გიზოჯჷნდ ოჯახის თიწკმა?	What was not allowed to do in a family with a child infected with "batonebi"?
-პატჷნეფი გიზოჯჷნ თი დროს ხმაური ვეშჷლებედჷ, ჩხუპ ვეშლებედჷ, ღვინიში შუმა ვეშილებედჷ, რდიკო ოკო მშვიდას, წყნარას, ნორმალურო.	When there was "batonebi", it was not allowed to make noise, to fight, to drink wine; you had to behave in a peaceful, calm, normal way.
-დიხაში ნჭყოლუა.	To dig earth.
-ვაა, ვეშილებედჷ დიხაში ნჭყოლუა მუთუნით, მუთუნი ცუდიშ გაკეთება მუთუნიშ ვეშლებედჷ.	No, it was not allowed to dig earth; it was not allowed to do bad things.
-აჰა, გასაგები რე, ჯგირი, მადლობა.	Ah, I understand; thank you.
- რას... [მუს იჩიებუქ სკან გოლვაფრო].	Not at all, my dear.
