Numeral	Cardinal	Ordinal
1	არtი (arti)	პირველი (ṗirveli)
2	ჟირი/ჟჷრი (žiri/žəri)	მაჟირა (mažira)
3	სუმი (sumi)	მასუმა (masuma)
4	ოtხი (otxi)	მაოtხა/მანtხა (maotxa/mantxa)
5	ხუtი (xuti)	მახუtა (maxuta)
6	ამშვი (amšvi)	მაამშვა (maamšva)
7	შkვიtი (škviti)	მაშkვიtა (maškvita)
8	რუო (ruo)	მარუო (maruo)
9	ჩხორო (čxoro)	მაჩხორა (mačxora)
10	ვიtი (viti)	მავიtა (mavita)
11	ვიtაარtი (vitaarti)	მავიtაარtა (mavitaarta)
12	ვიtოჟირი (vitožiri)	მავიtოჟირა (mavitožira)
13	ვიtოსუმი (vitosumi)	მავიtოსუმა (mavitosuma)
14	ვიtაანtხი (vitaantxi)	მავიtაანtხა (mavitaantxa)
15	ვიtოხუtი (vitoxuti)	მავიtოხუtა (mavitoxuta)
20	ეჩი (eči)	მაეჩა (maeča)
21	ეჩდოარtი (ečdoarti)	ეჩდომაარtა (ečdomaarta)
30	ეჩდოვიtი (ečdoviti)	ეჩდომავიtა (ečdomavita)
40	ჟაარნეჩი (žaarneči)	მაჟაარნეჩა (mažaarneča)
50	ჟაარნეჩდოვიtი (žaarnečdoviti)	ჟაარნეჩდომავიtა (žaarnečdomavita)
60	სუმონეჩი (sumoneči)	მასუმონეჩა (masumoneča)
70	სუმონეჩდოვიtი (sumonečdoviti)	სუმონეჩდომავიtა (sumonečdomavita)
80	ოtხონეჩი (otxoneči)	მაოtხონეჩა (maotxoneča)
90	ოtხონეჩდოვიtი (otxonečdoviti)	ოtხონეჩდომავიtა (otxonečdomavita)
100	ოში (oši)	მაოშა (maoša)
101	ოშარtი (ošarti)	ოშმაარtა (ošmaarta)
102	ოშჟირი (ošžiri)	ოშმაჟირა (ošmažira)
110	ოშვიtი (ošviti)	ოშმავიtა (ošmavita)
200	ჟიროში (žiroši)	მაჟიროშა (mažiroša)
500	ხუtოში (xutoši)	მახუtოშა (maxutoša)
1,000	ანtასი (antasi)	მაანtასა (maantasa)
2,000	ჟირი ანtასი (žiri antasi)	 
10,000	ვიtი ანtასი (viti antasi)
