word	ipa	russian_def	georgian_def
აბა!	aba	ну-ка! да! ну!	აბა!
აბაზი	abazi	двугривенный, двадцать копеек	აბაზი, ოცი კაპიკი
აბანა	abana	1. баня 2. лечебные воды	აბანო 2. სამკურნალო წყლები
აბანი	abani	место	ადგილი
აბარწა	abart͡sa	крыльцо; открытый балкон	პირმაღი; ღია აივანი
აბაშა	abaʃa	Абаша (село и река в Мегрелии)	აბაშა (სოფელი, მდინარე)
აბაშური	abaʃuri	1. абашец 2. абашский	აბაშელი 2. აბაშური
აბგა см. აბ(უ)გა	abga см. ab(u)ga		
აბორჯება	abord͡ʒeba	растеряться	აბნევა, დაბნევა
აბორჯებული	abord͡ʒebuli	растерянный; рассеянный	დაბნეული
აბოურა//აბუურა	aboura//abuura	скотный двор, хлев	ბოსელი, გომური
აბჟუა	abʒua	Абхазия	აფხაზეთი
აბრაგალა	abragala	абречество, разбойничество	აბრაგად ყოფნა, აბრაგობა
აბრაგი	abragi	абрек, разбойник	აბრაგი
აბრაგობა см. აბრაგალა	abragoba см. abragala		
ა(ბ)რეშუმი	a(b)reʃumi	шелк	აბრეშუმი
აბროშუმი см. ა(ბ)რეშუმი	abroʃumi см. a(b)reʃumi		
აბ(უ)გა//აბჷგა	ab(u)ga//abəga	маленькая (перемётная) сумка	აბგა, პატარა ჩანთა
აბუჩეჩი	abut͡ʃet͡ʃi	род травы	მცენარის ერთ-ერთი სახეობა
აბხა см. აფხა	abxa см. apxa		
აგაგა	agaga	привидение, призрак; скелет	მოჩვენება, ლანდი; ჩონჩხი
აგაფა см. ოგაფა	agapa см. ogapa	соха	კავი
აგაჯა см. აგაგა	agad͡ʒa см. agaga		
აგვარა	agvara	1. скотный двор 2. хлев	ბაკი 2. ბოსელი, გომური 16 ა
აგვართა	agvarta	масса, толпа	ურიცხვი (საქონელი), ბრბო
ადამიანი	adamiani	человек, перен. женщина	ადამიანი, გადატ. ქალი
ადამიანური см. ანდამური	adamianuri см. andamuri		
ადგილი კურზუ см. კურზულე	adgili k'urzu см. k'urzule		
ადესა	adesa	изабелла (виноградная лоза)	მაღლარი ვაზი, ადესა
ადვილო//ადვილაშე//ანდვილო	advilo //advilaʃe//andvilo	легко	ადვილად
აზა-კვაზა см. კვაზაფი	aza-k'vaza см. k'vazapi	изящный	კოპწია
აზრი см. არზი	azri см. arzi	мысль, идея, мнение	აზრი, მოსაზრება
ათა- см. ათო-	ata- см. ato-		
ათადგუმალი// ათადგჷმალი	atadgumali//atadgəmali	столб; подпора	ბოძი, შესადგმელი, შესაბჯენი
ათაურე см. ათაჸურე	ataure см. ata‘ure	сюда; в эту сторону; отсюда	აქეთკენ, აქეთ მხარეს; აქედან
